epi_week,disease,no_of_cases
2015-W07,Malaria,0
2015-W08,Dengue Fever,172
2015-W08,Dengue Haemorrhagic Fever,0
2015-W08,Malaria,0
2015-W09,Dengue Fever,189
2015-W09,Dengue Haemorrhagic Fever,1
2015-W09,Malaria,0
2015-W10,Dengue Fever,110
2015-W10,Dengue Haemorrhagic Fever,0
2015-W10,Malaria,1
2015-W11,Dengue Fever,91
2015-W11,Dengue Haemorrhagic Fever,0
2015-W11,Malaria,1
2015-W12,Dengue Fever,129
2015-W12,Dengue Haemorrhagic Fever,1
2015-W12,Malaria,0
2015-W13,Dengue Fever,90
2015-W13,Dengue Haemorrhagic Fever,1
2015-W13,Malaria,0
2015-W14,Dengue Fever,107
2015-W14,Dengue Haemorrhagic Fever,0
2015-W14,Malaria,5
2015-W15,Dengue Fever,137
2015-W15,Dengue Haemorrhagic Fever,0
2015-W15,Malaria,0
2015-W16,Dengue Fever,113
2015-W16,Dengue Haemorrhagic Fever,0
2015-W16,Malaria,1
2015-W17,Dengue Fever,120
2015-W17,Dengue Haemorrhagic Fever,0
2015-W17,Malaria,1
2015-W18,Dengue Fever,135
2015-W18,Dengue Haemorrhagic Fever,0
2015-W18,Malaria,1
2015-W19,Dengue Fever,157
2015-W19,Dengue Haemorrhagic Fever,1
2015-W19,Malaria,1
2015-W20,Dengue Fever,109
2015-W20,Dengue Haemorrhagic Fever,0
2015-W20,Malaria,0
2015-W21,Dengue Fever,178
2015-W21,Dengue Haemorrhagic Fever,2
2015-W21,Malaria,1
2015-W22,Dengue Fever,151
2015-W22,Dengue Haemorrhagic Fever,1
2015-W22,Malaria,1
2015-W23,Dengue Fever,192
2015-W23,Dengue Haemorrhagic Fever,1
2015-W23,Malaria,1
2015-W24,Dengue Fever,207
2015-W24,Dengue Haemorrhagic Fever,0
2015-W24,Malaria,1
2015-W25,Dengue Fever,240
2015-W25,Dengue Haemorrhagic Fever,0
2015-W25,Malaria,3
2015-W26,Dengue Fever,242
2015-W26,Dengue Haemorrhagic Fever,0
2015-W26,Malaria,0
2015-W27,Dengue Fever,272
2015-W27,Dengue Haemorrhagic Fever,0
2015-W27,Malaria,2
2015-W28,Dengue Fever,263
2015-W28,Dengue Haemorrhagic Fever,0
2015-W28,Malaria,2
2015-W29,Dengue Fever,293
2015-W29,Dengue Haemorrhagic Fever,0
2015-W29,Malaria,1
2015-W30,Dengue Fever,250
2015-W30,Dengue Haemorrhagic Fever,0
2015-W30,Malaria,2
2015-W31,Dengue Fever,226
2015-W31,Dengue Haemorrhagic Fever,0
2015-W31,Malaria,2
2015-W32,Dengue Fever,221
2015-W32,Dengue Haemorrhagic Fever,0
2015-W32,Malaria,1
2015-W33,Dengue Fever,250
2015-W33,Dengue Haemorrhagic Fever,0
2015-W33,Malaria,2
2015-W34,Dengue Fever,225
2015-W34,Dengue Haemorrhagic Fever,0
2015-W34,Malaria,1
2015-W35,Dengue Fever,246
2015-W35,Dengue Haemorrhagic Fever,0
2015-W35,Malaria,0
2015-W36,Dengue Fever,217
2015-W36,Dengue Haemorrhagic Fever,0
2015-W36,Malaria,3
2015-W37,Dengue Fever,303
2015-W37,Dengue Haemorrhagic Fever,0
2015-W37,Malaria,1
2015-W38,Dengue Fever,214
2015-W38,Dengue Haemorrhagic Fever,0
2015-W38,Malaria,1
2015-W39,Dengue Fever,257
2015-W39,Dengue Haemorrhagic Fever,0
2015-W39,Malaria,2
2015-W40,Dengue Fever,235
2015-W40,Dengue Haemorrhagic Fever,0
2015-W40,Malaria,1
2015-W41,Dengue Fever,235
2015-W41,Dengue Haemorrhagic Fever,0
2015-W41,Malaria,1
2015-W42,Dengue Fever,224
2015-W42,Dengue Haemorrhagic Fever,0
2015-W42,Malaria,0
2015-W43,Dengue Fever,246
2015-W43,Dengue Haemorrhagic Fever,0
2015-W43,Malaria,1
2015-W44,Dengue Fever,266
2015-W44,Dengue Haemorrhagic Fever,0
2015-W44,Malaria,0
2015-W45,Dengue Fever,198
2015-W45,Dengue Haemorrhagic Fever,0
2015-W45,Malaria,0
2015-W46,Dengue Fever,254
2015-W46,Dengue Haemorrhagic Fever,0
2015-W46,Malaria,0
2015-W47,Dengue Fever,285
2015-W47,Dengue Haemorrhagic Fever,1
2015-W47,Malaria,4
2015-W48,Dengue Fever,259
2015-W48,Dengue Haemorrhagic Fever,0
2015-W48,Malaria,1
2015-W49,Dengue Fever,356
2015-W49,Dengue Haemorrhagic Fever,1
2015-W49,Malaria,0
2015-W50,Dengue Fever,333
2015-W50,Dengue Haemorrhagic Fever,0
2015-W50,Malaria,0
2015-W51,Dengue Fever,372
2015-W51,Dengue Haemorrhagic Fever,0
2015-W51,Malaria,1
2015-W52,Dengue Fever,458
2015-W52,Dengue Haemorrhagic Fever,0
2015-W52,Malaria,0
2016-W01,Dengue Fever,549
2016-W01,Dengue Haemorrhagic Fever,0
2016-W01,Malaria,1
2016-W02,Dengue Fever,628
2016-W02,Dengue Haemorrhagic Fever,0
2016-W02,Malaria,0
2016-W03,Dengue Fever,635
2016-W03,Dengue Haemorrhagic Fever,1
2016-W03,Malaria,0
2016-W04,Dengue Fever,629
2016-W04,Dengue Haemorrhagic Fever,1
2016-W04,Malaria,0
2016-W05,Dengue Fever,528
2016-W05,Dengue Haemorrhagic Fever,2
2016-W05,Malaria,0
2016-W06,Dengue Fever,420
2016-W06,Dengue Haemorrhagic Fever,0
2016-W06,Malaria,0
2016-W07,Dengue Fever,592
2016-W07,Dengue Haemorrhagic Fever,1
2016-W07,Malaria,0
2016-W08,Dengue Fever,508
2016-W08,Dengue Haemorrhagic Fever,4
2016-W08,Malaria,0
2016-W09,Dengue Fever,412
2016-W09,Dengue Haemorrhagic Fever,0
2016-W09,Malaria,0
2016-W10,Dengue Fever,396
2016-W10,Dengue Haemorrhagic Fever,1
2016-W10,Malaria,0
2016-W11,Dengue Fever,373
2016-W11,Dengue Haemorrhagic Fever,1
2016-W11,Malaria,1
2016-W12,Dengue Fever,306
2016-W12,Dengue Haemorrhagic Fever,2
2016-W12,Malaria,1
2016-W13,Dengue Fever,376
2016-W13,Dengue Haemorrhagic Fever,1
2016-W13,Malaria,0
2016-W14,Dengue Fever,290
2016-W14,Dengue Haemorrhagic Fever,2
2016-W14,Malaria,0
2016-W15,Dengue Fever,225
2016-W15,Dengue Haemorrhagic Fever,0
2016-W15,Malaria,1
2016-W16,Dengue Fever,231
2016-W16,Dengue Haemorrhagic Fever,0
2016-W16,Malaria,1
2016-W17,Dengue Fever,244
2016-W17,Dengue Haemorrhagic Fever,0
2016-W17,Malaria,0
2016-W18,Dengue Fever,181
2016-W18,Dengue Haemorrhagic Fever,0
2016-W18,Malaria,0
2016-W19,Dengue Fever,217
2016-W19,Dengue Haemorrhagic Fever,0
2016-W19,Malaria,0
2016-W20,Dengue Fever,212
2016-W20,Dengue Haemorrhagic Fever,0
2016-W20,Malaria,1
2016-W21,Dengue Fever,198
2016-W21,Dengue Haemorrhagic Fever,0
2016-W21,Malaria,0
2016-W22,Dengue Fever,219
2016-W22,Dengue Haemorrhagic Fever,1
2016-W22,Malaria,0
2016-W23,Dengue Fever,159
2016-W23,Dengue Haemorrhagic Fever,1
2016-W23,Malaria,0
2016-W24,Dengue Fever,192
2016-W24,Dengue Haemorrhagic Fever,1
2016-W24,Malaria,2
2016-W25,Dengue Fever,215
2016-W25,Dengue Haemorrhagic Fever,0
2016-W25,Malaria,0
2016-W26,Dengue Fever,234
2016-W26,Dengue Haemorrhagic Fever,0
2016-W26,Malaria,1
2016-W27,Dengue Fever,246
2016-W27,Dengue Haemorrhagic Fever,1
2016-W27,Malaria,0
2016-W28,Dengue Fever,223
2016-W28,Dengue Haemorrhagic Fever,0
2016-W28,Malaria,1
2016-W29,Dengue Fever,266
2016-W29,Dengue Haemorrhagic Fever,0
2016-W29,Malaria,0
2016-W30,Dengue Fever,221
2016-W30,Dengue Haemorrhagic Fever,1
2016-W30,Malaria,0
2016-W31,Dengue Fever,211
2016-W31,Dengue Haemorrhagic Fever,0
2016-W31,Malaria,1
2016-W32,Dengue Fever,197
2016-W32,Dengue Haemorrhagic Fever,1
2016-W32,Malaria,1
2016-W33,Dengue Fever,221
2016-W33,Dengue Haemorrhagic Fever,1
2016-W33,Malaria,3
2016-W34,Dengue Fever,274
2016-W34,Dengue Haemorrhagic Fever,0
2016-W34,Malaria,1
2016-W35,Dengue Fever,310
2016-W35,Dengue Haemorrhagic Fever,1
2016-W35,Malaria,2
2016-W36,Dengue Fever,242
2016-W36,Dengue Haemorrhagic Fever,0
2016-W36,Malaria,2
2016-W37,Dengue Fever,174
2016-W37,Dengue Haemorrhagic Fever,0
2016-W37,Malaria,2
2016-W38,Dengue Fever,173
2016-W38,Dengue Haemorrhagic Fever,0
2016-W38,Malaria,2
2016-W39,Dengue Fever,138
2016-W39,Dengue Haemorrhagic Fever,0
2016-W39,Malaria,0
2016-W40,Dengue Fever,125
2016-W40,Dengue Haemorrhagic Fever,0
2016-W40,Malaria,0
2016-W41,Dengue Fever,94
2016-W41,Dengue Haemorrhagic Fever,0
2016-W41,Malaria,2
2016-W42,Dengue Fever,108
2016-W42,Dengue Haemorrhagic Fever,0
2016-W42,Malaria,0
2016-W43,Dengue Fever,84
2016-W43,Dengue Haemorrhagic Fever,0
2016-W43,Malaria,0
2016-W44,Dengue Fever,85
2016-W44,Dengue Haemorrhagic Fever,1
2016-W44,Malaria,0
2016-W45,Dengue Fever,84
2016-W45,Dengue Haemorrhagic Fever,0
2016-W45,Malaria,0
2016-W46,Dengue Fever,72
2016-W46,Dengue Haemorrhagic Fever,0
2016-W46,Malaria,0
2016-W47,Dengue Fever,74
2016-W47,Dengue Haemorrhagic Fever,1
2016-W47,Malaria,0
2016-W48,Dengue Fever,86
2016-W48,Dengue Haemorrhagic Fever,0
2016-W48,Malaria,0
2016-W49,Dengue Fever,59
2016-W49,Dengue Haemorrhagic Fever,0
2016-W49,Malaria,3
2016-W50,Dengue Fever,81
2016-W50,Dengue Haemorrhagic Fever,0
2016-W50,Malaria,1
2016-W51,Dengue Fever,72
2016-W51,Dengue Haemorrhagic Fever,0
2016-W51,Malaria,0
2016-W52,Dengue Fever,64
2016-W52,Dengue Haemorrhagic Fever,0
2016-W52,Malaria,0
2017-W01,Dengue Fever,70
2017-W01,Dengue Haemorrhagic Fever,0
2017-W01,Malaria,0
2017-W02,Dengue Fever,90
2017-W02,Dengue Haemorrhagic Fever,1
2017-W02,Malaria,0
2017-W03,Dengue Fever,74
2017-W03,Dengue Haemorrhagic Fever,1
2017-W03,Malaria,1
2017-W04,Dengue Fever,66
2017-W04,Dengue Haemorrhagic Fever,0
2017-W04,Malaria,0
2017-W05,Dengue Fever,62
2017-W05,Dengue Haemorrhagic Fever,0
2017-W05,Malaria,0
2017-W06,Dengue Fever,77
2017-W06,Dengue Haemorrhagic Fever,0
2017-W06,Malaria,1
2017-W07,Dengue Fever,51
2017-W07,Dengue Haemorrhagic Fever,2
2017-W07,Malaria,0
2017-W08,Dengue Fever,54
2017-W08,Dengue Haemorrhagic Fever,0
2017-W08,Malaria,0
2017-W09,Dengue Fever,41
2017-W09,Dengue Haemorrhagic Fever,0
2017-W10,Dengue Fever,32
2017-W10,Dengue Haemorrhagic Fever,0
2017-W10,Malaria,1
2017-W11,Dengue Fever,34
2017-W11,Dengue Haemorrhagic Fever,1
2017-W11,Malaria,1
2017-W12,Dengue Fever,32
2017-W12,Dengue Haemorrhagic Fever,0
2017-W12,Malaria,0
2017-W13,Dengue Fever,49
2017-W13,Dengue Haemorrhagic Fever,1
2017-W13,Malaria,0
2017-W14,Dengue Fever,37
2017-W14,Dengue Haemorrhagic Fever,0
2017-W14,Malaria,1
2017-W15,Dengue Fever,32
2017-W15,Dengue Haemorrhagic Fever,0
2017-W15,Malaria,1
2017-W16,Dengue Fever,51
2017-W16,Dengue Haemorrhagic Fever,0
2017-W16,Malaria,2
2017-W17,Dengue Fever,37
2017-W17,Dengue Haemorrhagic Fever,0
2017-W17,Malaria,0
2017-W18,Dengue Fever,42
2017-W18,Dengue Haemorrhagic Fever,0
2017-W18,Malaria,2
2017-W19,Dengue Fever,48
2017-W19,Dengue Haemorrhagic Fever,0
2017-W19,Malaria,0
2017-W20,Dengue Fever,48
2017-W20,Dengue Haemorrhagic Fever,2
2017-W20,Malaria,0
2017-W21,Dengue Fever,50
2017-W21,Dengue Haemorrhagic Fever,0
2017-W21,Malaria,2
2017-W22,Dengue Fever,66
2017-W22,Dengue Haemorrhagic Fever,0
2017-W22,Malaria,0
2017-W23,Dengue Fever,62
2017-W23,Dengue Haemorrhagic Fever,0
2017-W23,Malaria,0
2017-W24,Dengue Fever,79
2017-W24,Dengue Haemorrhagic Fever,1
2017-W24,Malaria,0
2017-W25,Dengue Fever,73
2017-W25,Dengue Haemorrhagic Fever,0
2017-W25,Malaria,1
2017-W26,Dengue Fever,75
2017-W26,Dengue Haemorrhagic Fever,0
2017-W26,Malaria,1
2017-W27,Dengue Fever,63
2017-W27,Dengue Haemorrhagic Fever,0
2017-W27,Malaria,3
2017-W28,Dengue Fever,53
2017-W28,Dengue Haemorrhagic Fever,0
2017-W28,Malaria,0
2017-W29,Dengue Fever,51
2017-W29,Dengue Haemorrhagic Fever,0
2017-W29,Malaria,0
2017-W30,Dengue Fever,66
2017-W30,Dengue Haemorrhagic Fever,1
2017-W30,Malaria,1
2017-W31,Dengue Fever,60
2017-W31,Dengue Haemorrhagic Fever,0
2017-W31,Malaria,1
2017-W32,Dengue Fever,56
2017-W32,Dengue Haemorrhagic Fever,0
2017-W32,Malaria,1
2017-W33,Dengue Fever,52
2017-W33,Dengue Haemorrhagic Fever,1
2017-W33,Malaria,1
2017-W34,Dengue Fever,51
2017-W34,Dengue Haemorrhagic Fever,1
2017-W34,Malaria,1
2017-W35,Dengue Fever,33
2017-W35,Dengue Haemorrhagic Fever,0
2017-W35,Malaria,3
2017-W36,Dengue Fever,40
2017-W36,Dengue Haemorrhagic Fever,0
2017-W36,Malaria,1
2017-W37,Dengue Fever,53
2017-W37,Dengue Haemorrhagic Fever,0
2017-W37,Malaria,1
2017-W38,Dengue Fever,58
2017-W38,Dengue Haemorrhagic Fever,1
2017-W38,Malaria,1
2017-W39,Dengue Fever,39
2017-W39,Dengue Haemorrhagic Fever,0
2017-W39,Malaria,0
2017-W40,Dengue Fever,51
2017-W40,Dengue Haemorrhagic Fever,1
2017-W40,Malaria,1
2017-W41,Dengue Fever,55
2017-W41,Dengue Haemorrhagic Fever,0
2017-W41,Malaria,0
2017-W42,Dengue Fever,62
2017-W42,Dengue Haemorrhagic Fever,1
2017-W42,Malaria,1
2017-W43,Dengue Fever,77
2017-W43,Dengue Haemorrhagic Fever,0
2017-W43,Malaria,1
2017-W44,Dengue Fever,62
2017-W44,Dengue Haemorrhagic Fever,0
2017-W44,Malaria,1
2017-W45,Dengue Fever,44
2017-W45,Dengue Haemorrhagic Fever,0
2017-W45,Malaria,1
2017-W46,Dengue Fever,50
2017-W46,Dengue Haemorrhagic Fever,0
2017-W46,Malaria,1
2017-W48,Malaria,2
2017-W47,Dengue Fever,24
2017-W47,Dengue Haemorrhagic Fever,0
2017-W47,Malaria,1
2017-W48,Dengue Fever,37
2017-W48,Dengue Haemorrhagic Fever,1
2017-W49,Dengue Fever,33
2017-W49,Dengue Haemorrhagic Fever,1
2017-W49,Malaria,2
2017-W50,Dengue Fever,40
2017-W50,Dengue Haemorrhagic Fever,0
2017-W50,Malaria,0
2017-W51,Dengue Fever,51
2017-W51,Dengue Haemorrhagic Fever,0
2017-W51,Malaria,0
2017-W52,Dengue Fever,66
2017-W52,Dengue Haemorrhagic Fever,0
2017-W52,Malaria,0
